total_area,mean_deltaT,morris_row_index,identifier,Class
70.39301430181763,1.1141215372096664,122,20,T
3075.1188965393885,1.616392057888966,122,21,T
1039.5332944741267,1.1225340268682322,122,22,T
672.0937841103427,1.9151270545763883,122,23,T
0,0,122,24,T
252.56551126915326,1.0722396063531616,123,19,NT
70.39301430181763,1.1141215372096664,123,20,T
2912.868471876387,1.546077768234365,123,21,T
1039.5332944744405,1.122534026868225,123,22,T
672.0937841096811,1.9151270545763883,123,23,T
0,0,123,24,T
57.72434284670595,1.287848179111366,124,19,NT
88.22422753613704,1.1563077035192997,124,20,T
7250.1197876127135,3.3820176474259442,124,21,T
3179.74679783707,1.433175993960777,124,22,T
5559.146718344169,3.401788304140336,124,23,T
0,0,124,24,T
6.060188956385147,3.024119567885691,125,19,NT
0,0,125,20,T
2912.6486531334776,5.552626677235885,125,21,T
0,0,125,22,T
436.3598001025456,2.067110452439394,125,23,T
0,0,125,24,T
531.9426789882344,0.6417427375883099,126,19,NT
187.61122736467058,0.931259821335193,126,20,T
6017.409633881457,4.063226560756493,126,21,T
2875.279218020661,0.6048263680702853,126,22,T
2156.618522257089,1.1323407220914066,126,23,T
6303.759798473862,0.855061746979342,126,24,T
2019.8901338399417,0.5376442613037654,127,19,NT
197.7957788118559,1.012289074698842,127,20,T
6140.484397354218,2.1890619741573505,127,21,T
4480.674421026638,0.7139826038596883,127,22,T
5608.810379027544,3.6003027311493025,127,23,T
6126.316389634902,0.7591255711595329,127,24,T
2019.8901338399417,0.5376442613037654,128,19,NT
197.7957788118559,1.012289074698842,128,20,T
6140.484397354218,2.1890619741573505,128,21,T
4480.674421026638,0.7139826038596883,128,22,T
5608.810379027544,3.6003027311493025,128,23,T
6126.316389634902,0.7591255711595329,128,24,T
30.944865578415406,1.9832458038216563,129,19,NT
0,0,129,20,T
1819.5941476953576,1.7095700060730425,129,21,T
0,0,129,22,T
600.3008416317444,1.929732697419439,129,23,T
0,0,129,24,T
6.361128651518328,3.178141533406155,13,19,NT
0,0,13,20,T
3329.4360043030215,2.6561617502430885,13,21,T
0,0,13,22,T
5437.734745614332,3.605399103070944,13,23,T
0,0,13,24,T
4.21269402694201,3.494603640534567,130,19,NT
0,0,130,20,T
539.6618977409107,5.513497758244851,130,21,T
0,0,130,22,T
0,0,130,23,T
0,0,130,24,T
3.309690203056061,3.2353713024577404,131,19,NT
0,0,131,20,T
4355.832406429212,3.883880339926095,131,21,T
0,0,131,22,T
4495.572108710629,3.429256412726648,131,23,T
0,0,131,24,T
3.309690203056061,3.2353713024577404,132,19,NT
0,0,132,20,T
4355.832406428945,3.8838803399261312,132,21,T
0,0,132,22,T
4495.572108711453,3.429256412726613,132,23,T
0,0,132,24,T
130.26163601423968,1.1392776769569,133,19,NT
88.22422753613704,1.1563077035192997,133,20,T
7032.585874695157,3.223455928708202,133,21,T
2863.4492847547226,1.1542116664467337,133,22,T
672.0937841096811,1.9151270545763883,133,23,T
0,0,133,24,T
130.26163601423968,1.1392776769569,134,19,NT
88.22422753613704,1.1563077035192997,134,20,T
7032.585874695157,3.223455928708202,134,21,T
2863.4492847547226,1.1542116664467337,134,22,T
672.0937841096811,1.9151270545763883,134,23,T
0,0,134,24,T
82.30540153504151,1.2282349515343158,135,19,NT
81.78003194711394,1.1568048128086355,135,20,T
3121.0175989677946,1.920220318182176,135,21,T
0,0,135,22,T
3850.641275178133,4.13592533213582,135,23,T
3595.7997818353815,1.1168171410146133,135,24,T
5.114866630960528,3.230073543628688,136,19,NT
0,0,136,20,T
860.3610500449398,3.04386894921678,136,21,T
0,0,136,22,T
3722.3124899551813,4.151321573566729,136,23,T
0,0,136,24,T
19.899074405544173,2.1123985642591085,137,19,NT
0,0,137,20,T
6423.377863696369,3.339159961364226,137,21,T
0,0,137,22,T
600.3008416316791,1.9297326974194389,137,23,T
0,0,137,24,T
19.899074405544173,2.1123985642591085,138,19,NT
0,0,138,20,T
6423.377863696369,3.339159961364226,138,21,T
0,0,138,22,T
600.3008416316791,1.9297326974194389,138,23,T
0,0,138,24,T
3.954811680033849,3.403116170058478,139,19,NT
0,0,139,20,T
3879.851740860649,3.7631288868541186,139,21,T
0,0,139,22,T
0,0,139,23,T
0,0,139,24,T
6.060188956385147,3.024119567885691,14,19,NT
0,0,14,20,T
2912.6486531334776,5.552626677235885,14,21,T
0,0,14,22,T
436.3598001025456,2.067110452439394,14,23,T
0,0,14,24,T
3.610906978108805,3.324368967286322,140,19,NT
0,0,140,20,T
509.2948797745935,3.238561924834819,140,21,T
0,0,140,22,T
3550.3264651075465,4.169402069693973,140,23,T
0,0,140,24,T
30.944865578415406,1.9832458038216563,141,19,NT
0,0,141,20,T
1819.5941476953576,1.7095700060730425,141,21,T
0,0,141,22,T
600.3008416317444,1.929732697419439,141,23,T
0,0,141,24,T
4.21269402694201,3.494603640534567,142,19,NT
0,0,142,20,T
539.6618977409107,5.513497758244851,142,21,T
0,0,142,22,T
0,0,142,23,T
0,0,142,24,T
4.212694027131469,3.494603640534567,143,19,NT
0,0,143,20,T
539.6618977409107,5.513497758244851,143,21,T
0,0,143,22,T
0,0,143,23,T
0,0,143,24,T
3.309690203056061,3.2353713024577404,144,19,NT
0,0,144,20,T
4355.832406428945,3.8838803399261312,144,21,T
0,0,144,22,T
4495.572108711453,3.429256412726613,144,23,T
0,0,144,24,T
57.724342850844835,1.2878481790999825,145,19,NT
88.22422753613704,1.1563077035192997,145,20,T
7250.119787609978,3.3820176474263164,145,21,T
3637.9984287115262,1.476158639441042,145,22,T
5559.146718313266,3.401788304140336,145,23,T
0,0,145,24,T
252.56551127088602,1.0722396063531259,146,19,NT
70.39301430189278,1.1141215372096909,146,20,T
3075.11889653947,1.6163920578889663,146,21,T
1039.5332944763852,1.1225340268681772,146,22,T
658.2155355011722,1.8180991224352503,146,23,T
810.7568498423061,1.011468135537221,146,24,T
5.630538970704997,3.352447293697114,147,19,NT
0,0,147,20,T
565.5260882007864,5.463832250814875,147,21,T
0,0,147,22,T
0,0,147,23,T
0,0,147,24,T
5.630538970704997,3.352447293697114,148,19,NT
0,0,148,20,T
