total_area,morris_row_index,identifier,Class
1125.3954700948843,219,15,NT
357.22823781721735,219,16,NT
153.96397894785852,219,17,NT
0,22,13,NT
4141.16997161051,22,14,T
1125.395470094721,22,15,NT
357.22823781511266,22,16,NT
143.5605752644543,22,17,NT
0,220,13,NT
1151.0232671338968,220,14,T
1032.5829469671446,220,15,NT
357.22823781839384,220,16,NT
132.45200603525174,220,17,NT
0,221,13,NT
9510.36872710508,221,14,T
2108.363937992036,221,15,NT
2032.2858933846883,221,16,NT
202.00831871306775,221,17,NT
0,222,13,NT
657.7233907547588,222,14,T
444.3464050909173,222,15,NT
0,222,16,NT
64.88149799460584,222,17,NT
0,223,13,NT
657.7233907524392,223,14,T
444.34640507601614,223,15,NT
0,223,16,NT
60.32122928156038,223,17,NT
0,224,13,NT
660.0319662465884,224,14,T
383.45139541546257,224,15,NT
0,224,16,NT
60.32122928169248,224,17,NT
0,225,13,NT
748.7590669684968,225,14,T
383.45139541546257,225,15,NT
0,225,16,NT
60.32122928169248,225,17,NT
0,226,13,NT
2265.5403980949905,226,14,T
1639.966197031932,226,15,NT
2032.2858933849266,226,16,NT
185.88149356895008,226,17,NT
0,227,13,NT
2265.5403981396844,227,14,T
1639.96619703199,227,15,NT
1799.9614926403585,227,16,NT
185.88149356895008,227,17,NT
0,228,13,NT
1536.5484245969697,228,14,T
2108.3639379933975,228,15,NT
2346.031595428091,228,16,NT
192.85060879200273,228,17,NT
0,229,13,NT
1536.5484245969697,229,14,T
2108.3639379933975,229,15,NT
2346.031595428091,229,16,NT
192.85060879200273,229,17,NT
0,23,13,NT
2837.401227297351,23,14,T
1002.2426280097906,23,15,NT
689.7741793119492,23,16,NT
132.45200603525174,23,17,NT
0,230,13,NT
2265.5403981396844,230,14,T
1639.96619703199,230,15,NT
1799.9614926403585,230,16,NT
185.88149356895008,230,17,NT
0,231,13,NT
748.7590669684968,231,14,T
383.45139541546257,231,15,NT
0,231,16,NT
60.32122928169248,231,17,NT
0,232,13,NT
748.7590669684968,232,14,T
383.45139541546257,232,15,NT
0,232,16,NT
60.32122928169248,232,17,NT
0,233,13,NT
702.708016066737,233,14,T
410.68482920438,233,15,NT
0,233,16,NT
60.32122928169248,233,17,NT
0,234,13,NT
702.708016066737,234,14,T
410.68482920438,234,15,NT
0,234,16,NT
60.32122928169248,234,17,NT
0,235,13,NT
1862.3448805913283,235,14,T
1941.60740095228,235,15,NT
2032.2858933847733,235,16,NT
185.88149356895008,235,17,NT
0,236,13,NT
1503.5636120050003,236,14,T
2108.363937992854,236,15,NT
2032.2858933847908,236,16,NT
225.18091989304912,236,17,NT
0,237,13,NT
3134.573430708939,237,14,T
1002.2426280097474,237,15,NT
689.7741793129886,237,16,NT
132.45200603525174,237,17,NT
0,238,13,NT
4141.169971610353,238,14,T
1125.3954700951556,238,15,NT
357.2282378186611,238,16,NT
143.5605752644543,238,17,NT
0,239,13,NT
295.0904744799014,239,14,T
308.5497800205526,239,15,NT
0,239,16,NT
42.37172243571007,239,17,NT
0,24,13,NT
258.6895302231416,24,14,T
269.7499678195488,24,15,NT
0,24,16,NT
38.6004081897362,24,17,NT
