total_area,total_averaged_temperature,morris_row_index,location
4568.717401208703,16.530666929009882,84,grundbach
249.59991014266103,18.24992386783862,84,hasle
1140.5117458324296,20.185664302836255,84,emmepark
672.0937841096811,17.76752281188965,85,limpbach
2912.868471876387,16.04998338785768,85,grundbach
249.59991014065736,18.249923867831665,85,hasle
1359.0827280061353,20.488003505677458,85,emmepark
5559.146718344169,19.639619827270508,86,limpbach
7250.1197876127135,16.89373733624834,86,grundbach
249.59991014283565,18.249923867838728,86,hasle
1251.4570727203743,20.377251751363744,86,emmepark
5559.146718313266,19.639619827270508,87,limpbach
7250.119787609978,16.893737336248037,87,grundbach
249.59991014024027,18.249923867831416,87,hasle
